country,population
China,1424548266
India,1383197753
United States of America,331431534
Indonesia,272222987
Brazil,213863046
Pakistan,208362334
Nigeria,206152701
Bangladesh,169775309
Russian Federation,143786842
Mexico,133870027
Japan,126495647
Ethiopia,112759070
Philippines,109703396
Egypt,102941484
Viet Nam,98360145
Democratic Republic of the Congo,89505201
Turkey,83835750
Iran (Islamic Republic of),83587129
Germany,82540450
Thailand,69410868
United Kingdom,67334208
France,65721165
United Republic of Tanzania,62774619
Italy,59132073
South Africa,58721229
Myanmar,54808276
Kenya,53491697
Republic of Korea,51506975
Colombia,50220412
